seed,generator,hl_accuracy,da_hl_accuracy,delta,train_samples,test_samples,dictionary_size,alpha,lambda,attention_policy
0,knn,0.58,0.62,0.040000000000000036,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
0,clustering,0.59,0.54,-0.04999999999999993,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
0,representation,0.37,0.43,0.06,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
1,knn,0.57,0.63,0.06000000000000005,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
1,clustering,0.49,0.45,-0.03999999999999998,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
1,representation,0.39,0.5,0.10999999999999999,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
2,knn,0.61,0.62,0.010000000000000009,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
2,clustering,0.41,0.4,-0.009999999999999953,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
2,representation,0.4,0.4,0.0,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
3,knn,0.64,0.6,-0.040000000000000036,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
3,clustering,0.41,0.41,0.0,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
3,representation,0.35,0.38,0.030000000000000027,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
4,knn,0.62,0.61,-0.010000000000000009,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
4,clustering,0.52,0.55,0.030000000000000027,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
4,representation,0.32,0.4,0.08000000000000002,50,100,50,0.0625,0.3,"cosine_clip_[eps,1]"
